word,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
one,0.939,0.906,0.829,0.709,0.66,0.64,0.633,0.609,0.594,0.629,0.673,0.764,0.662
in,0.924,0.892,0.808,0.724,0.703,0.722,0.685,0.585,0.527,0.578,0.65,0.742,0.642
from,0.942,0.917,0.855,0.785,0.767,0.729,0.65,0.565,0.501,0.539,0.599,0.703,0.618
into,0.954,0.92,0.867,0.827,0.805,0.765,0.725,0.642,0.584,0.607,0.638,0.716,0.634
by,0.923,0.897,0.837,0.764,0.732,0.711,0.689,0.612,0.576,0.615,0.67,0.757,0.653
or,0.93,0.906,0.877,0.836,0.804,0.784,0.749,0.673,0.67,0.705,0.733,0.805,0.736
a,0.912,0.871,0.839,0.803,0.797,0.784,0.753,0.67,0.655,0.691,0.728,0.78,0.577
of,0.927,0.902,0.866,0.767,0.746,0.732,0.686,0.567,0.516,0.576,0.642,0.735,0.645
as,0.929,0.904,0.83,0.711,0.681,0.655,0.627,0.562,0.545,0.584,0.626,0.721,0.616
with,0.926,0.899,0.846,0.764,0.738,0.728,0.687,0.604,0.541,0.588,0.648,0.742,0.643
to,0.915,0.887,0.81,0.715,0.699,0.703,0.654,0.573,0.522,0.559,0.627,0.724,0.621
an,0.921,0.887,0.848,0.823,0.808,0.789,0.757,0.682,0.653,0.685,0.722,0.781,0.583
that,0.947,0.909,0.865,0.813,0.811,0.811,0.781,0.757,0.73,0.749,0.764,0.819,0.739
the,0.908,0.881,0.832,0.78,0.778,0.761,0.726,0.614,0.597,0.645,0.682,0.743,0.543
on,0.965,0.919,0.828,0.743,0.729,0.697,0.67,0.577,0.514,0.566,0.634,0.751,0.639
is,0.917,0.871,0.823,0.768,0.763,0.765,0.758,0.71,0.665,0.708,0.74,0.798,0.693
be,0.932,0.887,0.835,0.781,0.75,0.731,0.698,0.658,0.642,0.678,0.722,0.785,0.561
cause,0.964,0.903,0.876,0.835,0.822,0.752,0.727,0.701,0.697,0.738,0.776,0.822,0.642
become,0.956,0.904,0.862,0.793,0.796,0.811,0.794,0.765,0.744,0.761,0.799,0.845,0.64
something,0.946,0.904,0.854,0.787,0.776,0.756,0.749,0.708,0.69,0.703,0.735,0.801,0.656
event,0.95,0.902,0.844,0.789,0.767,0.746,0.743,0.708,0.705,0.719,0.76,0.835,0.758
situation,0.944,0.919,0.878,0.845,0.82,0.804,0.807,0.78,0.8,0.824,0.845,0.897,0.848
which,0.93,0.91,0.865,0.789,0.733,0.731,0.682,0.616,0.582,0.631,0.685,0.771,0.68
for,0.935,0.897,0.855,0.789,0.777,0.771,0.717,0.626,0.577,0.602,0.635,0.733,0.649
and,0.913,0.89,0.841,0.762,0.723,0.704,0.667,0.557,0.52,0.569,0.614,0.723,0.654
make,0.978,0.918,0.899,0.857,0.863,0.844,0.825,0.812,0.812,0.835,0.856,0.887,0.75
position,0.955,0.892,0.844,0.785,0.756,0.711,0.704,0.695,0.695,0.728,0.773,0.851,0.761
someone,0.954,0.923,0.887,0.839,0.82,0.799,0.803,0.789,0.779,0.796,0.797,0.855,0.755
especially,0.97,0.94,0.892,0.849,0.84,0.841,0.827,0.765,0.734,0.744,0.753,0.818,0.725
move,0.954,0.903,0.854,0.809,0.79,0.777,0.773,0.771,0.772,0.791,0.821,0.867,0.755
##s,0.922,0.885,0.798,0.682,0.629,0.618,0.593,0.535,0.518,0.576,0.603,0.698,0.592
state,0.93,0.907,0.838,0.779,0.754,0.715,0.687,0.689,0.676,0.71,0.748,0.83,0.746
it,0.895,0.895,0.886,0.852,0.862,0.865,0.86,0.85,0.831,0.826,0.836,0.872,0.836
s,0.914,0.895,0.861,0.833,0.835,0.834,0.797,0.739,0.676,0.677,0.705,0.765,0.663
things,0.953,0.898,0.867,0.831,0.813,0.778,0.761,0.75,0.727,0.75,0.773,0.835,0.754
person,0.935,0.899,0.872,0.824,0.819,0.807,0.801,0.799,0.795,0.814,0.824,0.882,0.812
some,0.91,0.889,0.862,0.83,0.812,0.802,0.784,0.743,0.714,0.736,0.763,0.815,0.622
##it,0.952,0.939,0.856,0.763,0.704,0.638,0.599,0.573,0.571,0.645,0.706,0.798,0.71
