word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
one,0.416,0.267,0.292,0.309,0.313,0.304,0.301,0.303,0.283,0.281,0.27,0.277
in,0.278,0.187,0.212,0.209,0.199,0.161,0.13,0.114,0.111,0.104,0.103,0.113
from,0.316,0.226,0.231,0.247,0.263,0.253,0.246,0.242,0.25,0.261,0.25,0.252
into,0.379,0.283,0.336,0.327,0.369,0.326,0.301,0.284,0.293,0.319,0.33,0.349
by,0.223,0.176,0.224,0.249,0.269,0.256,0.256,0.251,0.228,0.209,0.209,0.211
or,0.213,0.141,0.133,0.147,0.157,0.167,0.168,0.163,0.162,0.153,0.146,0.146
a,0.421,0.356,0.303,0.292,0.315,0.291,0.303,0.278,0.256,0.226,0.246,0.576
of,0.211,0.135,0.151,0.15,0.13,0.116,0.111,0.106,0.094,0.077,0.066,0.082
as,0.327,0.228,0.256,0.228,0.216,0.199,0.177,0.168,0.164,0.161,0.179,0.236
with,0.285,0.226,0.28,0.301,0.307,0.262,0.255,0.251,0.227,0.206,0.184,0.18
to,0.243,0.191,0.267,0.24,0.214,0.174,0.148,0.142,0.131,0.129,0.117,0.108
an,0.408,0.356,0.315,0.286,0.319,0.271,0.276,0.249,0.22,0.197,0.218,0.505
that,0.264,0.208,0.287,0.33,0.346,0.285,0.295,0.272,0.249,0.222,0.211,0.218
the,0.357,0.286,0.244,0.215,0.267,0.262,0.253,0.222,0.204,0.181,0.196,0.482
on,0.594,0.457,0.433,0.433,0.412,0.358,0.3,0.314,0.3,0.29,0.285,0.295
is,0.287,0.217,0.23,0.236,0.237,0.237,0.217,0.204,0.206,0.203,0.202,0.176
be,0.42,0.365,0.327,0.315,0.29,0.276,0.277,0.258,0.255,0.24,0.276,0.599
cause,0.345,0.315,0.305,0.287,0.273,0.253,0.292,0.287,0.279,0.285,0.326,0.695
become,0.411,0.412,0.386,0.369,0.397,0.395,0.405,0.388,0.349,0.36,0.397,0.624
something,0.249,0.247,0.231,0.247,0.236,0.209,0.239,0.232,0.221,0.213,0.241,0.427
event,0.518,0.469,0.459,0.434,0.379,0.368,0.362,0.357,0.367,0.361,0.374,0.367
situation,0.465,0.565,0.656,0.662,0.646,0.608,0.641,0.592,0.568,0.548,0.525,0.492
which,0.408,0.463,0.593,0.582,0.548,0.457,0.392,0.368,0.354,0.344,0.371,0.352
for,0.277,0.22,0.219,0.221,0.226,0.219,0.225,0.214,0.211,0.213,0.203,0.183
and,0.239,0.202,0.183,0.19,0.181,0.186,0.192,0.177,0.175,0.163,0.169,0.173
make,0.494,0.416,0.423,0.418,0.416,0.406,0.455,0.484,0.458,0.456,0.477,0.714
position,0.283,0.336,0.37,0.385,0.362,0.337,0.352,0.346,0.327,0.321,0.324,0.371
someone,0.381,0.331,0.301,0.293,0.307,0.312,0.345,0.338,0.321,0.299,0.292,0.373
especially,0.345,0.322,0.296,0.35,0.393,0.425,0.395,0.377,0.363,0.325,0.312,0.322
move,0.581,0.516,0.545,0.588,0.578,0.594,0.61,0.571,0.568,0.553,0.556,0.669
##s,0.447,0.419,0.372,0.411,0.417,0.4,0.403,0.399,0.385,0.369,0.348,0.362
state,0.421,0.438,0.418,0.396,0.359,0.327,0.338,0.347,0.36,0.361,0.364,0.344
it,0.49,0.39,0.445,0.422,0.439,0.419,0.409,0.435,0.543,0.612,0.66,0.697
s,0.477,0.425,0.427,0.44,0.448,0.381,0.4,0.397,0.386,0.391,0.39,0.335
things,0.448,0.515,0.54,0.57,0.578,0.568,0.572,0.58,0.563,0.58,0.586,0.626
person,0.417,0.375,0.356,0.376,0.366,0.379,0.372,0.363,0.329,0.317,0.332,0.314
some,0.42,0.414,0.382,0.341,0.383,0.395,0.394,0.381,0.423,0.43,0.405,0.666
##it,0.591,0.711,0.716,0.747,0.704,0.729,0.728,0.702,0.677,0.682,0.686,0.728
